epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2632.91,0.69825,0.62108,1.12345,0.81264,0.73989,0.77262,0.57605,0.98584,0.9225,1.17619,0.000608468,0.000608468,0.000608468
60,2678.07,0.70295,0.63825,1.12763,0.80078,0.7136,0.75606,0.55332,1.0039,0.96358,1.23362,0.000594321,0.000594321,0.000594321
61,2721.25,0.69599,0.63731,1.12899,0.79599,0.71325,0.76882,0.56313,0.97512,0.88774,1.16941,0.000580174,0.000580174,0.000580174
62,2764.28,0.68087,0.61712,1.11317,0.82575,0.74568,0.77428,0.57507,0.96983,0.87931,1.17621,0.000566027,0.000566027,0.000566027
63,2808.79,0.68812,0.62296,1.12588,0.84777,0.67264,0.7604,0.56305,0.95883,0.94276,1.18216,0.00055188,0.00055188,0.00055188
64,2852.45,0.67873,0.62126,1.11014,0.81389,0.70802,0.74489,0.56191,0.94274,0.93346,1.1517,0.000537733,0.000537733,0.000537733
65,2896.55,0.66255,0.58398,1.10908,0.8537,0.71651,0.76572,0.57373,0.97085,0.91118,1.19348,0.000523586,0.000523586,0.000523586
66,2939.41,0.68457,0.60405,1.11216,0.78139,0.6945,0.74375,0.55794,0.95545,0.98172,1.18846,0.000509438,0.000509438,0.000509438
67,2984.08,0.66135,0.58451,1.10583,0.79815,0.73391,0.76724,0.57456,0.97593,0.96987,1.20126,0.000495291,0.000495291,0.000495291
68,3029.89,0.66139,0.572,1.10066,0.8441,0.69836,0.77821,0.57868,0.946,0.94367,1.18829,0.000481144,0.000481144,0.000481144
69,3073,0.66608,0.58518,1.10706,0.7985,0.7322,0.74967,0.56651,0.94998,0.91267,1.1747,0.000466997,0.000466997,0.000466997
70,3117.73,0.66717,0.57721,1.10596,0.80521,0.73132,0.76947,0.58547,0.93407,0.89299,1.16653,0.00045285,0.00045285,0.00045285
71,3162.3,0.63824,0.56631,1.09481,0.83549,0.71355,0.76132,0.57073,0.94642,0.9703,1.17661,0.000438703,0.000438703,0.000438703
72,3205.99,0.6452,0.56364,1.0922,0.85257,0.72519,0.77399,0.57775,0.98137,0.91214,1.21941,0.000424556,0.000424556,0.000424556
73,3252.41,0.64053,0.56365,1.08725,0.86634,0.66829,0.76103,0.56999,0.94687,0.97315,1.22526,0.000410409,0.000410409,0.000410409
74,3296.48,0.63807,0.54674,1.08657,0.85309,0.7073,0.7724,0.57656,0.95021,0.9075,1.23297,0.000396262,0.000396262,0.000396262
75,3340.03,0.61816,0.53687,1.07712,0.85444,0.72456,0.78066,0.5907,0.96622,0.89636,1.23745,0.000382115,0.000382115,0.000382115
76,3390.12,0.62932,0.54081,1.0858,0.83929,0.71924,0.77091,0.58702,0.94468,0.89386,1.21425,0.000367967,0.000367967,0.000367967
77,3435.49,0.62471,0.52956,1.08205,0.78039,0.76463,0.79191,0.59062,0.95231,0.87883,1.22744,0.00035382,0.00035382,0.00035382
78,3479.15,0.62646,0.53879,1.08408,0.84264,0.69998,0.76321,0.57419,0.95898,0.98249,1.22743,0.000339673,0.000339673,0.000339673
79,3522.71,0.61294,0.53218,1.07819,0.84687,0.73335,0.76744,0.57554,0.96923,0.93104,1.26143,0.000325526,0.000325526,0.000325526
80,3568.7,0.60676,0.52133,1.0702,0.83201,0.74238,0.79157,0.59628,0.97317,0.86601,1.2342,0.000311379,0.000311379,0.000311379
81,3612.34,0.60007,0.51124,1.06793,0.84354,0.7228,0.77978,0.58733,0.95103,0.8871,1.23338,0.000297232,0.000297232,0.000297232
82,3657.62,0.60284,0.51829,1.0613,0.84897,0.74169,0.77885,0.57928,0.95866,0.8693,1.2312,0.000283085,0.000283085,0.000283085
83,3702.97,0.58661,0.50486,1.06599,0.86544,0.72442,0.78196,0.58543,0.94098,0.89141,1.20227,0.000268938,0.000268938,0.000268938
84,3748.04,0.57497,0.49346,1.05261,0.8418,0.72752,0.76482,0.58703,0.92026,0.91935,1.18849,0.000254791,0.000254791,0.000254791
85,3791.36,0.59487,0.49894,1.06171,0.82448,0.72968,0.78174,0.59183,0.94316,0.86854,1.23189,0.000240644,0.000240644,0.000240644
86,3836.55,0.578,0.49108,1.05288,0.83188,0.73494,0.78808,0.58834,0.95555,0.88649,1.26158,0.000226497,0.000226497,0.000226497
87,3882.03,0.5751,0.49672,1.05332,0.84412,0.74436,0.79082,0.60253,0.95297,0.86742,1.2687,0.000212349,0.000212349,0.000212349
88,3925.86,0.5698,0.48155,1.04934,0.86738,0.74325,0.78672,0.59771,0.90035,0.8764,1.17392,0.000198202,0.000198202,0.000198202
89,3972.07,0.56271,0.48213,1.04966,0.83772,0.73323,0.77691,0.58653,0.94551,0.87913,1.25522,0.000184055,0.000184055,0.000184055
90,4016.01,0.55695,0.47131,1.04918,0.87171,0.74078,0.78183,0.5929,0.94256,0.87102,1.2336,0.000169908,0.000169908,0.000169908
91,4062.62,0.57806,0.39576,1.09631,0.84954,0.73045,0.76366,0.57141,0.94818,0.92168,1.26378,0.000155761,0.000155761,0.000155761
92,4105.41,0.54449,0.35523,1.07748,0.83502,0.7316,0.7621,0.57065,0.95762,0.93294,1.28026,0.000141614,0.000141614,0.000141614
93,4149.7,0.52816,0.35187,1.06469,0.85824,0.71359,0.76939,0.57661,0.94586,0.9319,1.28353,0.000127467,0.000127467,0.000127467
94,4193.5,0.52934,0.34521,1.05808,0.87329,0.7152,0.77355,0.5806,0.94632,0.93078,1.28595,0.00011332,0.00011332,0.00011332
95,4235.78,0.5275,0.34105,1.06088,0.85565,0.75338,0.77301,0.57992,0.94019,0.92038,1.28398,9.91726e-05,9.91726e-05,9.91726e-05
96,4279.21,0.51856,0.33522,1.04827,0.84956,0.74983,0.7722,0.57772,0.94846,0.92135,1.29176,8.50255e-05,8.50255e-05,8.50255e-05
97,4322.06,0.50765,0.32765,1.03881,0.85608,0.73368,0.76905,0.5741,0.95421,0.93451,1.29534,7.08784e-05,7.08784e-05,7.08784e-05
98,4364.34,0.5146,0.34344,1.05318,0.85594,0.74577,0.77456,0.57876,0.95293,0.92507,1.2954,5.67313e-05,5.67313e-05,5.67313e-05
99,4407.94,0.49552,0.32799,1.03747,0.85582,0.73668,0.77644,0.58048,0.95032,0.9238,1.29365,4.25842e-05,4.25842e-05,4.25842e-05
100,4450.96,0.49645,0.32612,1.03937,0.84571,0.73994,0.77289,0.57931,0.95004,0.92091,1.30281,2.84371e-05,2.84371e-05,2.84371e-05
