epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3307.72,0.6754,0.60292,1.10758,0.82776,0.69374,0.74834,0.55307,0.99052,1.0164,1.24719,0.000537733,0.000537733,0.000537733
65,3358.73,0.65262,0.56792,1.10521,0.84591,0.72199,0.78196,0.58239,0.96455,0.97593,1.19192,0.000523586,0.000523586,0.000523586
66,3411.01,0.66665,0.56517,1.10317,0.84742,0.72067,0.78019,0.58809,0.9604,0.95274,1.18755,0.000509438,0.000509438,0.000509438
67,3462.11,0.65034,0.55511,1.09711,0.8164,0.74374,0.77876,0.57974,0.96647,0.95947,1.19681,0.000495291,0.000495291,0.000495291
68,3513.97,0.65034,0.55253,1.09474,0.81076,0.74295,0.78482,0.58751,0.97574,0.92093,1.23995,0.000481144,0.000481144,0.000481144
69,3566.13,0.64832,0.55563,1.09866,0.78798,0.75714,0.77914,0.58414,0.96832,0.95605,1.20543,0.000466997,0.000466997,0.000466997
70,3617.06,0.65673,0.55969,1.10018,0.81525,0.72608,0.78364,0.58806,0.95491,0.91954,1.20219,0.00045285,0.00045285,0.00045285
71,3669.19,0.62127,0.53686,1.08905,0.82812,0.71294,0.76476,0.56605,0.97521,0.98237,1.2417,0.000438703,0.000438703,0.000438703
72,3720.51,0.62324,0.53913,1.08359,0.82791,0.74195,0.7767,0.57098,0.99616,0.96301,1.2672,0.000424556,0.000424556,0.000424556
73,3771.96,0.62337,0.53799,1.07535,0.83976,0.75682,0.78238,0.57875,0.97778,0.95259,1.27517,0.000410409,0.000410409,0.000410409
74,3824.24,0.61669,0.52404,1.07469,0.83433,0.73041,0.78547,0.57545,0.9727,0.97299,1.24626,0.000396262,0.000396262,0.000396262
75,3875.3,0.60455,0.51753,1.07234,0.84333,0.76155,0.79548,0.59094,0.96811,0.88543,1.23889,0.000382115,0.000382115,0.000382115
76,3925.84,0.61149,0.5151,1.07722,0.81936,0.74819,0.79748,0.60827,0.95386,0.92501,1.21376,0.000367967,0.000367967,0.000367967
77,3977.22,0.60146,0.51389,1.07048,0.86683,0.70627,0.7926,0.58873,0.95994,0.93263,1.21425,0.00035382,0.00035382,0.00035382
78,4029.03,0.60129,0.50614,1.07291,0.82754,0.72614,0.78409,0.59317,0.94812,0.95709,1.20303,0.000339673,0.000339673,0.000339673
